SKU,Product Name,Brand,Category,Unit,Cost (AED),Price (mixed incl./excl. VAT),Opening Qty,Tax Group,Shelf Life Note
MM-00001,Falconx Smartphone 128GB - v1,Falconx,phones,pc,683.72,1203.29,46,Standard 5%,
MM-00002,Falconx Smartphone 128GB - v2,Falconx,Mobiles,Each,227.82,403.11,45,Zero-Rated 0%,
MM-00003,Falconx Smartphone 128GB - v3,Falconx,Phones,each,128.95,216.39,17,,
MM-00004,Falconx Smartphone 128GB - v4,Falconx,Phones,Each,598.17,752.58,27,Standard 5%,
MM-00005,Falconx Smartphone 128GB - v5,Falconx,Mobiles,Each,492.32,823.53,1,Standard 5%,
MM-00006,Falconx Smartphone 128GB - v6,Falconx,Mobiles,Each,240.66,432.64,34,Standard 5%,
MM-00007,Vantage Smartphone 256GB - v1,Vantage,phones,each,845.56,1137.02,46,Standard 5%,
MM-00008,Vantage Smartphone 256GB - v2,Vantage,phones,Each,472.12,809.25,9,Standard 5%,
MM-00009,Vantage Smartphone 256GB - v3,Vantage,Phones,Each,122.53,190.64,8,,
MM-00010,Vantage Smartphone 256GB - v4,Vantage,Phones,pc,583.06,999.20,49,Standard 5%,
MM-00011,PureSound Smartphone Lite - v1,PureSound,phones,pc,230.85,360.97,8,Standard 5%,
MM-00012,PureSound Smartphone Lite - v2,PureSound,phones,pc,286.48,407.44,16,Zero-Rated 0%,
MM-00013,PureSound Smartphone Lite - v3,PureSound,Phones,Each,211.84,394.29,35,,
MM-00014,PureSound Smartphone Lite - v4,PureSound,Mobiles,Each,360.44,666.61,13,Standard 5%,
MM-00015,PureSound Smartphone Lite - v5,PureSound,Mobiles,Each,,263.49,11,Standard 5%,
MM-00016,PureSound Smartphone Lite - v6,PureSound,Phones,each,527.25,879.00,5,Standard 5%,
MM-00017,Orbit Fast Charger 20W - v1,Orbit,Chargers,Each,492.72,651.41,0,Standard 5%,
MM-00018,Orbit Fast Charger 20W - v2,Orbit,Charging,Each,786.82,1306.08,15,Zero-Rated 0%,
MM-00019,Orbit Fast Charger 20W - v3,Orbit,Chargers,Each,629.82,915.24,41,Standard 5%,
MM-00020,Orbit Fast Charger 20W - v4,Orbit,Charging,pc,385.24,494.71,27,Standard 5%,
MM-00021,Orbit Fast Charger 20W - v5,Orbit,Chargers,each,581.10,1014.95,32,,
MM-00022,Orbit Fast Charger 65W - v1,Orbit,Charging,Each,128.67,234.97,41,,
MM-00023,Orbit Fast Charger 65W - v2,Orbit,Chargers,Each,323.11,592.59,14,Zero-Rated 0%,
MM-00024,Orbit Fast Charger 65W - v3,Orbit,Chargers,pc,436.41,715.18,37,,
MM-00025,Orbit Fast Charger 65W - v4,Orbit,Chargers,each,690.17,1201.71,17,Standard 5%,
MM-00026,Orbit Fast Charger 65W - v5,Orbit,Charging,Each,612.33,956.46,21,Standard 5%,
MM-00027,Zenlink Wireless Charger Pad - v1,Zenlink,Charging,Each,98.37,130.76,35,Standard 5%,
MM-00028,Zenlink Wireless Charger Pad - v2,Zenlink,Chargers,pc,268.41,416.41,30,Zero-Rated 0%,
MM-00029,Zenlink Wireless Charger Pad - v3,Zenlink,Charging,pc,768.34,1282.71,1,Standard 5%,
MM-00030,Nova Phone Case - v1,Nova,Accessories,each,,687.12,23,Standard 5%,
MM-00010,Vantage Smartphone 256GB - v4 (open box),Vantage,Phones,pc,583.06,999.20,49,Standard 5%,
MM-00031,Nova Phone Case - v2,Nova,accessories,Each,546.21,973.40,3,Standard 5%,
MM-00032,Nova Phone Case - v3,Nova,Accessories,pc,412.81,501.25,36,Zero-Rated 0%,
MM-00033,Nova Phone Case - v4,Nova,accessories,each,394.80,567.19,15,Standard 5%,
MM-00034,Nova Phone Case - v5,Nova,accessories,Each,411.97,526.04,29,,
MM-00035,PureSound Screen Protector - v1,PureSound,accessories,pc,626.01,853.19,29,Standard 5%,
MM-00036,PureSound Screen Protector - v2,PureSound,Acc.,each,161.29,255.86,27,Standard 5%,
MM-00037,PureSound Screen Protector - v3,PureSound,Acc.,Each,690.01,1304.04,16,,
MM-00038,PureSound Screen Protector - v4,PureSound,Accessories,each,299.62,420.67,33,Standard 5%,
MM-00039,Nova Car Mount - v1,Nova,Accessories,Each,673.45,1006.95,26,Zero-Rated 0%,
MM-00040,Nova Car Mount - v2,Nova,Acc.,Each,348.41,550.69,16,,
MM-00041,Nova Car Mount - v3,Nova,Acc.,Each,886.07,1173.31,7,Standard 5%,
MM-00042,Nova Car Mount - v4,Nova,accessories,each,741.59,1361.57,11,Standard 5%,
MM-00043,Nova Car Mount - v5,Nova,accessories,each,886.49,1358.10,16,Standard 5%,
MM-00044,Nova Car Mount - v6,Nova,Accessories,pc,201.69,300.52,16,Standard 5%,
MM-00045,Vantage Cable Type-C - v1,Vantage,accessories,Each,,1025.79,32,Standard 5%,
MM-00046,Vantage Cable Type-C - v2,Vantage,Acc.,Each,845.05,1399.64,45,Standard 5%,
MM-00047,Vantage Cable Type-C - v3,Vantage,Acc.,pc,735.37,950.56,26,Standard 5%,
MM-00048,Nova Wireless Earbuds - v1,Nova,audio,pc,416.72,534.81,18,,
MM-00049,Nova Wireless Earbuds - v2,Nova,Audio,Each,801.39,1100.61,50,Standard 5%,
MM-00050,Nova Wireless Earbuds - v3,Nova,Audio,Each,523.63,726.82,24,Standard 5%,
MM-00051,Nova Wireless Earbuds - v4,Nova,Audio,each,20.07,28.41,12,Standard 5%,
MM-00052,Nova Wireless Earbuds - v5,Nova,Audio,Each,834.94,1334.87,24,Standard 5%,
MM-00053,Nova Wireless Earbuds - v6,Nova,audio,each,571.78,908.92,37,Standard 5%,
MM-00054,Zenlink Bluetooth Speaker - v1,Zenlink,Audio,Each,644.65,1059.81,7,Standard 5%,
MM-00055,Zenlink Bluetooth Speaker - v2,Zenlink,Audio,Each,872.23,1554.64,18,Standard 5%,
MM-00056,Zenlink Bluetooth Speaker - v3,Zenlink,Audio,Each,127.23,154.35,49,Standard 5%,
MM-00057,Zenlink Bluetooth Speaker - v4,Zenlink,audio,Each,136.70,182.08,4,Standard 5%,
MM-00058,Zenlink Bluetooth Speaker - v5,Zenlink,Audio,Each,422.85,719.11,47,,
MM-00059,Zenlink Bluetooth Speaker - v6,Zenlink,Audio,pc,199.99,367.32,7,Standard 5%,
MM-00060,Nova Over-Ear Headphones - v1,Nova,audio,Each,,1188.96,5,Standard 5%,
MM-00061,Nova Over-Ear Headphones - v2,Nova,audio,pc,52.57,66.60,24,Standard 5%,
MM-00062,Nova Over-Ear Headphones - v3,Nova,audio,Each,121.44,213.03,38,Zero-Rated 0%,
MM-00063,Nova Over-Ear Headphones - v4,Nova,audio,Each,312.44,579.21,16,Standard 5%,
MM-00064,Zenlink Smart Watch - v1,Zenlink,Wearables,Each,296.62,522.00,35,Zero-Rated 0%,
MM-00065,Zenlink Smart Watch - v2,Zenlink,Wearable,Each,130.32,164.81,7,Standard 5%,
MM-00066,Zenlink Smart Watch - v3,Zenlink,Wearables,Each,151.91,279.88,38,Zero-Rated 0%,
MM-00067,Zenlink Smart Watch - v4,Zenlink,Wearables,pc,91.15,136.76,30,Standard 5%,
MM-00068,Nova Fitness Band - v1,Nova,Wearable,pc,80.03,129.60,1,,
MM-00069,Nova Fitness Band - v2,Nova,Wearables,pc,68.83,126.87,28,Standard 5%,
MM-00070,Nova Fitness Band - v3,Nova,Wearables,Each,812.17,1047.69,28,,
MM-00071,Nova Fitness Band - v4,Nova,Wearables,each,20.87,31.62,19,Standard 5%,
MM-00072,Nova Fitness Band - v5,Nova,Wearables,pc,853.79,1293.32,23,Standard 5%,
MM-00073,PureSound Replacement Screen - v1,PureSound,Parts,pc,588.54,789.08,40,Zero-Rated 0%,2026-11
MM-00074,PureSound Replacement Screen - v2,PureSound,Parts,each,722.02,1124.54,43,Standard 5%,
MM-00075,PureSound Replacement Screen - v3,PureSound,Parts,Each,,1047.62,19,Standard 5%,2026-11
MM-00076,PureSound Replacement Screen - v4,PureSound,Parts,each,639.26,1115.76,44,Zero-Rated 0%,2026-11
MM-00077,PureSound Replacement Screen - v5,PureSound,Repair Parts,Each,860.41,1385.52,19,Standard 5%,
MM-00078,Orbit Replacement Battery - v1,Orbit,Repair Parts,pc,426.93,718.24,19,Standard 5%,2027-03
MM-00079,Orbit Replacement Battery - v2,Orbit,Repair Parts,Each,797.84,1289.81,11,Standard 5%,
MM-00080,Orbit Replacement Battery - v3,Orbit,Repair Parts,Each,27.48,48.48,19,,2026-11
MM-00081,Orbit Replacement Battery - v4,Orbit,Parts,pc,217.29,323.88,12,,2026-11
MM-00082,Orbit Replacement Battery - v5,Orbit,Repair Parts,Each,763.56,1342.53,0,Standard 5%,2026-11
MM-00083,Vantage Replacement Screen,Vantage,Repair Parts,Each,358.09,656.69,34,Standard 5%,
MM-00084,Vantage Smart Watch,Vantage,Wearables,Each,161.36,246.50,23,Standard 5%,
MM-00085,Orbit Smart Watch,Orbit,Wearables,Each,268.31,501.41,36,Standard 5%,
MM-00086,Zenlink Fast Charger 20W,Zenlink,Charging,Each,425.83,684.26,3,Standard 5%,
MM-00087,Nova Smartphone 256GB,Nova,Phones,Each,698.51,894.39,4,Standard 5%,
MM-00088,Zenlink Smart Watch,Zenlink,Wearable,Each,856.02,1154.86,10,Standard 5%,
MM-00089,Orbit Wireless Charger Pad,Orbit,Chargers,Each,516.91,943.41,14,Standard 5%,
MM-00090,Falconx Replacement Battery,Falconx,Repair Parts,Each,779.99,1426.41,34,Standard 5%,
MM-00091,Falconx Car Mount,Falconx,accessories,Each,474.19,628.99,32,Standard 5%,
MM-00092,Zenlink Fast Charger 20W,Zenlink,Chargers,Each,279.45,438.55,40,Standard 5%,
